company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_name,investor_region,funding_round_type,metric
AdverCar,,,,,,,,,AdverCar        
LaunchGram,,,,,,,,,LaunchGram        
ZoopShop,,,,,,,,,ZoopShop        
eFuneral,,,,,,,,,eFuneral        
Tackk,,,,,,,,,Tackk        
Acclaimd,,,,,,,,,Acclaimd        
ToVieFor,,,,,,,,,ToVieFor        
OHK Labs,,,,,,,,,OHK Labs        
Lovely,,,,,,,,,Lovely        
peerTransfer,,,,,,,,,peerTransfer        
spotdock,,,,,,,,,spotdock        
Fisker Automotive,,,,,,,,,Fisker Automotive        
MetroFlats.com,,,,,,,,,MetroFlats.com        
MesoCoat,,,,,,,,,MesoCoat        
Trilliant,,,,,,,,,Trilliant        
Power Assure,,,,,,,,,Power Assure        
ECOtality,,,,,,,,,ECOtality        
Evalve,,,,,,,,,Evalve        
Ovalis,,,,,,,,,Ovalis        
Alvine Pharmaceuticals,,,,,,,,,Alvine Pharmaceuticals        
Avaxia Biologics,,,,,,,,,Avaxia Biologics        
AuraSense Therapeutics,,,,,,,,,AuraSense Therapeutics        
LibraryThing,,,,,,,,,LibraryThing        
HelioVolt,,,,,,,,,HelioVolt        
Airband Communications Holdings,,,,,,,,,Airband Communications Holdings        
Xand,,,,,,,,,Xand        
TareasPlus,,,,,,,,,TareasPlus        
MetaLayer,,,,,,,,,MetaLayer        
StayNTouch,,,,,,,,,StayNTouch        
Adchemy,,,,,,,,,Adchemy        
Predixion Software,,,,,,,,,Predixion Software        
Apigee,,,,,,,,,Apigee        
WildTangent,,,,,,,,,WildTangent        
Gemini Mobile Technologies,,,,,,,,,Gemini Mobile Technologies        
PayClip,,,,,,,,,PayClip        
Fuhu,,,,,,,,,Fuhu        
Corridor Pharmaceuticals,,,,,,,,,Corridor Pharmaceuticals        
Stakeforce,,,,,,,,,Stakeforce        
eSolar,,,,,,,,,eSolar        
CoaLogix,,,,,,,,,CoaLogix        
Sustainable Industrial Solutions,,,,,,,,,Sustainable Industrial Solutions        
mxHero,,,,,,,,,mxHero        
nprogress,,,,,,,,,nprogress        
Krossover,,,,,,,,,Krossover        
Kynetx,,,,,,,,,Kynetx        
Brand Affinity Technologies,,,,,,,,,Brand Affinity Technologies        
Socialtyze,,,,,,,,,Socialtyze        
Get Satisfaction,,,,,,,,,Get Satisfaction        
Path.To,,,,,,,,,Path.To        
Cequint,,,,,,,,,Cequint        
Veoh,,,,,,,,,Veoh        
Demandbase,,,,,,,,,Demandbase        
scanR,,,,,,,,,scanR        
